month,dong_name,transit_dong_code,included_in_3d_map,service_hour,daily_avg_subway_pressure
202603,신사동,11230510,1,0,358.388
202603,신사동,11230510,1,1,0.13
202603,신사동,11230510,1,2,0.0
202603,신사동,11230510,1,3,0.0
202603,신사동,11230510,1,4,2.646
202603,신사동,11230510,1,5,320.0
202603,신사동,11230510,1,6,1513.226
202603,신사동,11230510,1,7,3662.71
202603,신사동,11230510,1,8,8242.774
202603,신사동,11230510,1,9,10222.388
202603,신사동,11230510,1,10,5834.0
202603,신사동,11230510,1,11,4861.612
202603,신사동,11230510,1,12,4835.87
202603,신사동,11230510,1,13,5464.258
202603,신사동,11230510,1,14,5495.742
202603,신사동,11230510,1,15,5831.484
202603,신사동,11230510,1,16,6650.322
202603,신사동,11230510,1,17,8956.13
202603,신사동,11230510,1,18,11956.968
202603,신사동,11230510,1,19,7856.064
202603,신사동,11230510,1,20,4948.646
202603,신사동,11230510,1,21,4517.678
202603,신사동,11230510,1,22,3652.0
202603,신사동,11230510,1,23,1646.838
202603,논현1동,11230520,1,0,912.582
202603,논현1동,11230520,1,1,44.194
202603,논현1동,11230520,1,2,0.0
202603,논현1동,11230520,1,3,0.0
202603,논현1동,11230520,1,4,6.516
202603,논현1동,11230520,1,5,652.84
202603,논현1동,11230520,1,6,3289.936
202603,논현1동,11230520,1,7,8310.646
202603,논현1동,11230520,1,8,16820.388
202603,논현1동,11230520,1,9,16922.902
202603,논현1동,11230520,1,10,9760.322
202603,논현1동,11230520,1,11,8198.386
202603,논현1동,11230520,1,12,8776.258
202603,논현1동,11230520,1,13,9462.71
202603,논현1동,11230520,1,14,9743.032
202603,논현1동,11230520,1,15,10453.29
202603,논현1동,11230520,1,16,12333.612
202603,논현1동,11230520,1,17,17201.934
202603,논현1동,11230520,1,18,22800.774
202603,논현1동,11230520,1,19,14898.646
202603,논현1동,11230520,1,20,10021.162
202603,논현1동,11230520,1,21,9616.838
202603,논현1동,11230520,1,22,8129.418
202603,논현1동,11230520,1,23,4217.742
202603,논현2동,11230530,1,0,589.418
202603,논현2동,11230530,1,1,4.064
202603,논현2동,11230530,1,2,0.0
202603,논현2동,11230530,1,3,0.0
202603,논현2동,11230530,1,4,3.034
202603,논현2동,11230530,1,5,841.742
202603,논현2동,11230530,1,6,4676.772
202603,논현2동,11230530,1,7,11410.064
202603,논현2동,11230530,1,8,30478.0
202603,논현2동,11230530,1,9,24828.0
202603,논현2동,11230530,1,10,12546.516
202603,논현2동,11230530,1,11,9080.902
202603,논현2동,11230530,1,12,9271.29
202603,논현2동,11230530,1,13,10634.258
202603,논현2동,11230530,1,14,10467.034
202603,논현2동,11230530,1,15,11312.838
202603,논현2동,11230530,1,16,13014.322
202603,논현2동,11230530,1,17,19452.256
202603,논현2동,11230530,1,18,28642.324
202603,논현2동,11230530,1,19,15747.55
202603,논현2동,11230530,1,20,9437.164
202603,논현2동,11230530,1,21,7999.034
202603,논현2동,11230530,1,22,5876.838
202603,논현2동,11230530,1,23,2582.774
202603,삼성1동,11230580,1,0,132.838
202603,삼성1동,11230580,1,1,0.13
202603,삼성1동,11230580,1,2,0.0
202603,삼성1동,11230580,1,3,0.0
202603,삼성1동,11230580,1,4,0.452
202603,삼성1동,11230580,1,5,367.42
202603,삼성1동,11230580,1,6,1781.354
202603,삼성1동,11230580,1,7,3977.87
202603,삼성1동,11230580,1,8,9544.71
202603,삼성1동,11230580,1,9,7313.29
202603,삼성1동,11230580,1,10,4858.0
202603,삼성1동,11230580,1,11,4819.42
202603,삼성1동,11230580,1,12,4968.0
202603,삼성1동,11230580,1,13,5567.612
202603,삼성1동,11230580,1,14,5571.806
202603,삼성1동,11230580,1,15,5900.838
202603,삼성1동,11230580,1,16,6749.742
202603,삼성1동,11230580,1,17,8602.388
202603,삼성1동,11230580,1,18,10008.0
202603,삼성1동,11230580,1,19,5360.904
202603,삼성1동,11230580,1,20,3693.096
202603,삼성1동,11230580,1,21,3096.58
202603,삼성1동,11230580,1,22,2117.032
202603,삼성1동,11230580,1,23,725.226
