month,station_name,line_name,dong_name,transit_dong_code,included_in_3d_map,service_hour,monthly_get_on,monthly_get_off,daily_avg_get_on,daily_avg_get_off,daily_avg_station_pressure
202603,선릉,2호선,삼성2동,11230590,1,0,3973,5291,128.161,170.677,298.839
202603,선릉,2호선,삼성2동,11230590,1,1,2,91,0.065,2.935,3.0
202603,선릉,2호선,삼성2동,11230590,1,2,0,0,0.0,0.0,0.0
202603,선릉,2호선,삼성2동,11230590,1,3,0,0,0.0,0.0,0.0
202603,선릉,2호선,삼성2동,11230590,1,4,167,1,5.387,0.032,5.419
202603,선릉,2호선,삼성2동,11230590,1,5,4700,6379,151.613,205.774,357.387
202603,선릉,2호선,삼성2동,11230590,1,6,12331,46900,397.774,1512.903,1910.677
202603,선릉,2호선,삼성2동,11230590,1,7,24987,132622,806.032,4278.129,5084.161
202603,선릉,2호선,삼성2동,11230590,1,8,39155,293021,1263.065,9452.29,10715.355
202603,선릉,2호선,삼성2동,11230590,1,9,38720,218190,1249.032,7038.387,8287.419
202603,선릉,2호선,삼성2동,11230590,1,10,41553,104963,1340.419,3385.903,4726.323
202603,선릉,2호선,삼성2동,11230590,1,11,51873,69796,1673.323,2251.484,3924.806
202603,선릉,2호선,삼성2동,11230590,1,12,62189,66405,2006.097,2142.097,4148.194
202603,선릉,2호선,삼성2동,11230590,1,13,69828,76193,2252.516,2457.839,4710.355
202603,선릉,2호선,삼성2동,11230590,1,14,82470,60161,2660.323,1940.677,4601.0
202603,선릉,2호선,삼성2동,11230590,1,15,106662,56139,3440.71,1810.935,5251.645
202603,선릉,2호선,삼성2동,11230590,1,16,134330,56001,4333.226,1806.484,6139.71
202603,선릉,2호선,삼성2동,11230590,1,17,219983,62442,7096.226,2014.258,9110.484
202603,선릉,2호선,삼성2동,11230590,1,18,298617,62707,9632.806,2022.806,11655.613
202603,선릉,2호선,삼성2동,11230590,1,19,155675,41494,5021.774,1338.516,6360.29
202603,선릉,2호선,삼성2동,11230590,1,20,104430,27050,3368.71,872.581,4241.29
202603,선릉,2호선,삼성2동,11230590,1,21,91788,23721,2960.903,765.194,3726.097
202603,선릉,2호선,삼성2동,11230590,1,22,74599,20831,2406.419,671.968,3078.387
202603,선릉,2호선,삼성2동,11230590,1,23,25789,12484,831.903,402.71,1234.613
202603,역삼,2호선,역삼1동,11230640,1,0,3649,3261,117.71,105.194,222.903
202603,역삼,2호선,역삼1동,11230640,1,1,1,24,0.032,0.774,0.806
202603,역삼,2호선,역삼1동,11230640,1,2,0,0,0.0,0.0,0.0
202603,역삼,2호선,역삼1동,11230640,1,3,0,0,0.0,0.0,0.0
202603,역삼,2호선,역삼1동,11230640,1,4,24,1,0.774,0.032,0.806
202603,역삼,2호선,역삼1동,11230640,1,5,3734,7380,120.452,238.065,358.516
202603,역삼,2호선,역삼1동,11230640,1,6,9069,47752,292.548,1540.387,1832.935
202603,역삼,2호선,역삼1동,11230640,1,7,16630,162252,536.452,5233.935,5770.387
202603,역삼,2호선,역삼1동,11230640,1,8,27699,372646,893.516,12020.839,12914.355
202603,역삼,2호선,역삼1동,11230640,1,9,26033,318062,839.774,10260.065,11099.839
202603,역삼,2호선,역삼1동,11230640,1,10,27720,127772,894.194,4121.677,5015.871
202603,역삼,2호선,역삼1동,11230640,1,11,35448,69246,1143.484,2233.742,3377.226
202603,역삼,2호선,역삼1동,11230640,1,12,42052,60781,1356.516,1960.677,3317.194
202603,역삼,2호선,역삼1동,11230640,1,13,50544,66366,1630.452,2140.839,3771.29
202603,역삼,2호선,역삼1동,11230640,1,14,63208,50944,2038.968,1643.355,3682.323
202603,역삼,2호선,역삼1동,11230640,1,15,78402,44929,2529.097,1449.323,3978.419
202603,역삼,2호선,역삼1동,11230640,1,16,107466,44452,3466.645,1433.935,4900.581
202603,역삼,2호선,역삼1동,11230640,1,17,224905,52951,7255.0,1708.097,8963.097
202603,역삼,2호선,역삼1동,11230640,1,18,277006,59859,8935.677,1930.935,10866.613
202603,역삼,2호선,역삼1동,11230640,1,19,162409,39042,5239.0,1259.419,6498.419
202603,역삼,2호선,역삼1동,11230640,1,20,94599,24799,3051.581,799.968,3851.548
202603,역삼,2호선,역삼1동,11230640,1,21,85888,20980,2770.581,676.774,3447.355
202603,역삼,2호선,역삼1동,11230640,1,22,57702,17503,1861.355,564.613,2425.968
202603,역삼,2호선,역삼1동,11230640,1,23,22268,10116,718.323,326.323,1044.645
202603,강남,2호선,역삼1동,11230640,1,0,11799,6473,380.613,208.806,589.419
202603,강남,2호선,역삼1동,11230640,1,1,4,47,0.129,1.516,1.645
202603,강남,2호선,역삼1동,11230640,1,2,0,0,0.0,0.0,0.0
202603,강남,2호선,역삼1동,11230640,1,3,0,0,0.0,0.0,0.0
202603,강남,2호선,역삼1동,11230640,1,4,155,13,5.0,0.419,5.419
202603,강남,2호선,역삼1동,11230640,1,5,8041,12420,259.387,400.645,660.032
202603,강남,2호선,역삼1동,11230640,1,6,18954,53655,611.419,1730.806,2342.226
202603,강남,2호선,역삼1동,11230640,1,7,43312,167850,1397.161,5414.516,6811.677
202603,강남,2호선,역삼1동,11230640,1,8,67406,340695,2174.387,10990.161,13164.548
202603,강남,2호선,역삼1동,11230640,1,9,58461,349380,1885.839,11270.323,13156.161
202603,강남,2호선,역삼1동,11230640,1,10,62290,164557,2009.355,5308.29,7317.645
202603,강남,2호선,역삼1동,11230640,1,11,79528,112166,2565.419,3618.258,6183.677
202603,강남,2호선,역삼1동,11230640,1,12,94366,108122,3044.065,3487.806,6531.871
