service_date,service_hour,dong_name,transit_dong_code,included_in_3d_map,transit_inbound,transit_outbound,transit_internal,transit_pressure
20260301,0,신사동,11230510,1,17,38,8,47
20260301,0,논현1동,11230520,1,72,124,13,183
20260301,0,논현2동,11230530,1,12,22,9,25
20260301,0,삼성1동,11230580,1,28,71,17,82
20260301,0,삼성2동,11230590,1,33,48,15,66
20260301,0,대치4동,11230630,1,47,74,18,103
20260301,0,역삼1동,11230640,1,118,409,78,449
20260301,0,역삼2동,11230650,1,83,37,1,119
20260301,0,압구정동,11230770,0,28,91,18,101
20260301,0,청담동,11230780,1,26,48,9,65
20260301,1,신사동,11230510,1,0,0,0,0
20260301,1,논현1동,11230520,1,40,85,4,121
20260301,1,논현2동,11230530,1,0,0,0,0
20260301,1,삼성1동,11230580,1,6,25,2,29
20260301,1,삼성2동,11230590,1,13,21,8,26
20260301,1,대치4동,11230630,1,24,28,1,51
20260301,1,역삼1동,11230640,1,68,182,39,211
20260301,1,역삼2동,11230650,1,22,19,3,38
20260301,1,압구정동,11230770,0,0,0,0,0
20260301,1,청담동,11230780,1,14,10,1,23
20260301,2,신사동,11230510,1,0,0,0,0
20260301,2,논현1동,11230520,1,17,54,1,70
20260301,2,논현2동,11230530,1,0,0,0,0
20260301,2,삼성1동,11230580,1,6,21,7,20
20260301,2,삼성2동,11230590,1,11,10,3,18
20260301,2,대치4동,11230630,1,17,10,1,26
20260301,2,역삼1동,11230640,1,43,125,10,158
20260301,2,역삼2동,11230650,1,20,13,1,32
20260301,2,압구정동,11230770,0,1,0,0,1
20260301,2,청담동,11230780,1,10,8,2,16
20260301,3,신사동,11230510,1,0,0,0,0
20260301,3,논현1동,11230520,1,18,47,1,64
20260301,3,논현2동,11230530,1,1,0,0,1
20260301,3,삼성1동,11230580,1,17,8,2,23
20260301,3,삼성2동,11230590,1,5,22,6,21
20260301,3,대치4동,11230630,1,12,7,0,19
20260301,3,역삼1동,11230640,1,52,72,7,117
20260301,3,역삼2동,11230650,1,24,12,1,35
20260301,3,압구정동,11230770,0,2,1,1,2
20260301,3,청담동,11230780,1,6,7,0,13
20260301,4,신사동,11230510,1,43,19,3,59
20260301,4,논현1동,11230520,1,68,80,11,137
20260301,4,논현2동,11230530,1,42,30,4,68
20260301,4,삼성1동,11230580,1,53,16,3,66
20260301,4,삼성2동,11230590,1,23,21,7,37
20260301,4,대치4동,11230630,1,47,40,4,83
20260301,4,역삼1동,11230640,1,92,177,31,238
20260301,4,역삼2동,11230650,1,57,34,3,88
20260301,4,압구정동,11230770,0,79,48,8,119
20260301,4,청담동,11230780,1,85,39,7,117
20260301,5,신사동,11230510,1,86,32,7,111
20260301,5,논현1동,11230520,1,370,373,40,703
20260301,5,논현2동,11230530,1,472,132,12,592
20260301,5,삼성1동,11230580,1,513,116,13,616
20260301,5,삼성2동,11230590,1,168,76,15,229
20260301,5,대치4동,11230630,1,374,165,14,525
20260301,5,역삼1동,11230640,1,686,436,49,1073
20260301,5,역삼2동,11230650,1,116,52,15,153
20260301,5,압구정동,11230770,0,566,189,25,730
20260301,5,청담동,11230780,1,173,70,18,225
20260301,6,신사동,11230510,1,97,36,11,122
20260301,6,논현1동,11230520,1,623,533,51,1105
20260301,6,논현2동,11230530,1,517,216,19,714
20260301,6,삼성1동,11230580,1,644,285,35,894
20260301,6,삼성2동,11230590,1,219,196,37,378
20260301,6,대치4동,11230630,1,383,297,32,648
20260301,6,역삼1동,11230640,1,879,735,107,1507
20260301,6,역삼2동,11230650,1,118,114,27,205
20260301,6,압구정동,11230770,0,782,297,29,1050
20260301,6,청담동,11230780,1,242,113,40,315
20260301,7,신사동,11230510,1,112,51,18,145
20260301,7,논현1동,11230520,1,751,797,64,1484
20260301,7,논현2동,11230530,1,746,337,43,1040
20260301,7,삼성1동,11230580,1,876,309,43,1142
20260301,7,삼성2동,11230590,1,264,222,43,443
20260301,7,대치4동,11230630,1,644,336,43,937
20260301,7,역삼1동,11230640,1,1392,961,123,2230
20260301,7,역삼2동,11230650,1,202,148,47,303
20260301,7,압구정동,11230770,0,1262,261,36,1487
