month,service_hour,avg_micro_area_pressure,rank
202603,18,97634.355,1
202603,8,91500.613,2
202603,17,78570.546,3
202603,7,70675.936,4
202603,9,60624.033,5
202603,19,58923.418,6
202603,16,56250.033,7
202603,15,48470.321,8
202603,14,43442.419,9
202603,13,43031.613,10
202603,20,41155.355,11
202603,12,41115.159,12
202603,10,39363.386,13
202603,11,37191.71,14
202603,21,36313.613,15
202603,22,28804.29,16
202603,6,26123.193,17
202603,23,11922.354,18
202603,5,10934.903,19
202603,0,2599.289,20
202603,4,2577.324,21
202603,1,576.709,22
202603,3,515.032,23
202603,2,500.484,24
